index_content,word,nature,content_type,index_word
23,维,nr,pos,15
23,柠檬茶,n,pos,16
23,上头,v,pos,17
23,这种,r,pos,18
23,没什么,l,pos,19
23,糖,zg,pos,20
23,比较,d,pos,21
23,哈哈哈哈,o,pos,22
24,东西,ns,pos,0
24,收到,v,pos,1
24,发货,n,pos,2
24,速度,n,pos,3
24,很快,d,pos,4
24,卖家,n,pos,5
24,客服,n,pos,6
24,耐心,a,pos,7
24,礼貌,n,pos,8
24,包,v,pos,9
24,包装,v,pos,10
24,非常,d,pos,11
24,仔细,ad,pos,12
24,严实,ad,pos,13
24,物流,n,pos,14
24,公司,n,pos,15
24,服务态度,n,pos,16
24,运送,v,pos,17
24,速度,n,pos,18
24,很快,d,pos,19
24,满意,v,pos,20
24,一次,m,pos,21
24,购物,n,pos,22
25,一直,d,pos,0
25,喝,vg,pos,1
25,款,n,pos,2
25,茶,n,pos,3
25,口感,n,pos,4
25,以前,f,pos,5
25,便利店,n,pos,6
25,购买,v,pos,7
25,单,n,pos,8
25,瓶装,n,pos,9
25,现在,t,pos,10
25,买,v,pos,11
25,整箱,n,pos,12
25,便宜,a,pos,13
25,实惠,vn,pos,14
25,宝贝,nr,pos,15
25,一如既往,i,pos,16
25,性价比,n,pos,17
25,非常,d,pos,18
25,高,a,pos,19
25,品牌,n,pos,20
25,值得,v,pos,21
25,信赖,n,pos,22
27,农夫山泉,nz,pos,0
27,东方,s,pos,1
27,树叶,n,pos,2
27,青,a,pos,3
27,柑,n,pos,4
27,普洱,ns,pos,5
27,一直,d,pos,6
27,喝,vg,pos,7
27,口感,n,pos,8
27,很好,d,pos,9
27,喜欢,v,pos,10
27,加糖,v,pos,11
27,饮料,n,pos,12
27,喝,vg,pos,13
27,可能,v,pos,14
27,接受,v,pos,15
27,太,d,pos,16
27,细细的,z,pos,17
27,品,v,pos,18
27,好喝,v,pos,19
27,喝,vg,pos,20
27,点,q,pos,21
27,算是,v,pos,22
27,电解质,n,pos,23
27,喝,vg,pos,24
27,白开水,nr,pos,25
27,比较,d,pos,26
27,喜欢,v,pos,27
27,欢,a,pos,28
27,青,a,pos,29
27,柑,n,pos,30
27,普洱,ns,pos,31
28,家人,n,pos,0
28,喜欢,v,pos,1
28,太,d,pos,2
28,喜欢,v,pos,3
28,有点,n,pos,4
28,苦味,n,pos,5
28,喜欢,v,pos,6
28,喜欢,v,pos,7
28,京东,ns,pos,8
28,购物,n,pos,9
28,方便快捷,z,pos,10
28,服务,vn,pos,11
28,送货,v,pos,12
28,快,a,pos,13
28,满意,v,pos,14
28,喜欢,v,pos,15
28,京东,ns,pos,16
28,购物,n,pos,17
28,方便快捷,z,pos,18
28,服务态度,n,pos,19
28,送货,v,pos,20
28,快,a,pos,21
29,快,a,pos,0
29,喝完,v,pos,1
29,想,v,pos,2
29,起来,v,pos,3
29,评价,n,pos,4
29,东方,s,pos,5
29,树叶,n,pos,6
29,多次,m,pos,7
29,回购,v,pos,8
29,喜欢,v,pos,9
29,普洱,ns,pos,10
29,柑橘,n,pos,11
29,味,n,pos,12
29,解,v,pos,13
29,腻,v,pos,14
29,好喝,v,pos,15
29,红茶,nr,pos,16
29,乌龙茶,nr,pos,17
29,不错,a,pos,18
29,喝完,v,pos,19
29,继续,v,pos,20
29,回购,v,pos,21
29,喜欢,v,pos,22
29,茶,n,pos,23
30,真的,d,pos,0
30,宝藏,nr,pos,1
30,东西,ns,pos,2
30,喜欢,v,pos,3
30,爱,v,pos,4
30,不得了,l,pos,5
30,哈哈哈,o,pos,6
30,哈哈哈,o,pos,7
30,哈哈哈,o,pos,8
30,快递,v,pos,9
30,非常,d,pos,10
30,快,a,pos,11
30,之后,f,pos,12
30,马上,d,pos,13
30,分,q,pos,14
30,喜欢,v,pos,15
30,喝,vg,pos,16
30,款,n,pos,17
30,味道,n,pos,18
30,一种,m,pos,19
30,特别,d,pos,20
30,特别,d,pos,21
30,特殊,a,pos,22
30,地方,n,pos,23
30,很少,m,pos,24
30,有人,r,pos,25
30,会,v,pos,26
30,抢,v,pos,27
30,喝,vg,pos,28
31,买,v,pos,0
31,两箱,m,pos,1
31,两种,m,pos,2
31,口味,n,pos,3
31,原味,n,pos,4
31,茶,n,pos,5
31,平淡,a,pos,6
31,饭后,t,pos,7
31,喝,vg,pos,8
31,不错,a,pos,9
31,出去,v,pos,10
31,外带,n,pos,11
31,非常,d,pos,12
31,方便,a,pos,13
31,包包,v,pos,14
31,装,v,pos,15
31,大小,b,pos,16
31,刚刚,d,pos,17
31,合适,a,pos,18
31,值得,v,pos,19
31,推荐,v,pos,20
31,不错,a,pos,21
32,农夫山泉,nz,pos,0
32,青,a,pos,1
32,柑,n,pos,2
32,普洱茶,n,pos,3
32,味道,n,pos,4
32,真不错,i,pos,5
32,全家人,n,pos,6
32,比较,d,pos,7
32,喜欢,v,pos,8
32,喝,vg,pos,9
32,尤其,d,pos,10
32,放在,v,pos,11
32,冰箱,n,pos,12
32,里,f,pos,13
32,冷藏,n,pos,14
32,一下,m,pos,15
32,味道,n,pos,16
32,更好,d,pos,17
32,哈哈哈,o,pos,18
32,含有,v,pos,19
32,能量,n,pos,20
32,真是,d,pos,21
32,减肥,v,pos,22
32,人士,n,pos,23
32,最爱,a,pos,24
33,口感,n,pos,0
33,浓浓的,z,pos,1
33,茶,n,pos,2
33,滋味,n,pos,3
33,家人,n,pos,4
33,喜欢,v,pos,5
33,能量,n,pos,6
33,糖,zg,pos,7
33,热量,n,pos,8
33,控制,v,pos,9
33,体重,n,pos,10
33,敢喝,v,pos,11
33,京东,ns,pos,12
33,物流,n,pos,13
33,迅速,ad,pos,14
33,自有,v,pos,15
33,运输,vn,pos,16
33,体系,n,pos,17
33,追踪,v,pos,18
33,送货,v,pos,19
33,准时,v,pos,20
33,快递,v,pos,21
33,上门,ns,pos,22
33,快递,v,pos,23
33,哥哥,ns,pos,24
33,服务,vn,pos,25
33,超赞,v,pos,26
33,专业,n,pos,27
33,品质,n,pos,28
33,信赖,n,pos,29
33,京东,ns,pos,30
33,省事,n,pos,31
33,省心,n,pos,32
34,男朋友,n,pos,0
34,喜欢,v,pos,1
34,喝,vg,pos,2
34,接近,v,pos,3
34,原茶,n,pos,4
34,味道,n,pos,5
34,出门,v,pos,6
34,喝,vg,pos,7
34,比较,d,pos,8
34,方便,a,pos,9
34,没有,v,pos,10
34,喝,vg,pos,11
34,味道,n,pos,12
34,喜欢,v,pos,13
34,农夫山泉,nz,pos,14
34,饮料,n,pos,15
34,营养成分,l,pos,16
34,担心,v,pos,17
34,长胖,a,pos,18
34,口感,n,pos,19
35,喝,vg,pos,0
35,多次,m,pos,1
35,双十,m,pos,2
35,备货,n,pos,3
35,平时,t,pos,4
35,喝,vg,pos,5
35,春节,t,pos,6
35,吃,v,pos,7
35,比较,d,pos,8
35,油腻,n,pos,9
35,普洱,ns,pos,10
35,解,v,pos,11
35,腻,v,pos,12
35,加上,v,pos,13
35,小青,nr,pos,14
35,柑,ng,pos,15
35,香味,n,pos,16
35,完美,a,pos,17
35,加热,v,pos,18
35,喝,vg,pos,19
36,做,v,pos,0
36,活动,vn,pos,1
