index_content,word,nature,content_type,index_word
33,服务,vn,pos,23
33,超赞,v,pos,24
33,专业,n,pos,25
33,品质,n,pos,26
33,信赖,n,pos,27
33,省事,n,pos,28
33,省心,n,pos,29
34,男朋友,n,pos,0
34,喜欢,v,pos,1
34,接近,v,pos,2
34,原茶,n,pos,3
34,味道,n,pos,4
34,出门,v,pos,5
34,比较,d,pos,6
34,方便,a,pos,7
34,味道,n,pos,8
34,喜欢,v,pos,9
34,营养成分,l,pos,10
34,担心,v,pos,11
34,长胖,a,pos,12
34,口感,n,pos,13
35,多次,m,pos,0
35,双十,m,pos,1
35,备货,n,pos,2
35,平时,t,pos,3
35,春节,t,pos,4
35,吃,v,pos,5
35,比较,d,pos,6
35,油腻,n,pos,7
35,解,v,pos,8
35,腻,v,pos,9
35,加上,v,pos,10
35,小青,nr,pos,11
35,柑,ng,pos,12
35,香味,n,pos,13
35,完美,a,pos,14
35,加热,v,pos,15
36,做,v,pos,0
36,活动,vn,pos,1
36,时,n,pos,2
36,一下,m,pos,3
36,两厢,n,pos,4
36,两种,m,pos,5
36,口味,n,pos,6
36,喜欢,v,pos,7
36,这种,r,pos,8
36,糖分,n,pos,9
36,完全,ad,pos,10
36,泡,v,pos,11
36,凉,v,pos,12
36,以后,f,pos,13
36,感觉,n,pos,14
36,放在,v,pos,15
36,冰箱,n,pos,16
36,里,f,pos,17
36,冰冻,n,pos,18
36,以后,f,pos,19
36,解锁,v,pos,20
36,口感,n,pos,21
36,喜欢,v,pos,22
36,希望,v,pos,23
36,送货,v,pos,24
36,速度,n,pos,25
36,能够,v,pos,26
36,越来越快,l,pos,27
37,回购,v,pos,0
37,牌子,n,pos,1
37,家人,n,pos,2
37,爱喝,nr,pos,3
37,通便,d,pos,4
37,减肥,v,pos,5
37,作用,v,pos,6
37,个人感觉,n,pos,7
37,好喝,v,pos,8
37,不涩,a,pos,9
37,味道,n,pos,10
37,甘甜,nr,pos,11
37,可口,v,pos,12
37,活动,vn,pos,13
37,回购,v,pos,14
37,信赖,n,pos,15
37,自营,vn,pos,16
37,商城,ns,pos,17
37,产品,n,pos,18
37,快递,v,pos,19
37,小哥,n,pos,20
37,力,n,pos,21
37,服务,vn,pos,22
38,好喝,v,pos,0
38,甜,a,pos,1
38,茶味,n,pos,2
38,清爽,a,pos,3
38,高科技,nz,pos,4
38,冰箱,n,pos,5
38,里冰,nr,pos,6
38,一下,m,pos,7
38,更好,d,pos,8
38,值得,v,pos,9
38,购买,v,pos,10
39,喜欢,v,pos,0
39,味,ng,pos,1
39,无糖,n,pos,2
39,喜欢,v,pos,3
39,喝水,v,pos,4
39,懒得,v,pos,5
39,泡茶,n,pos,6
39,喜欢,v,pos,7
39,直接,ad,pos,8
39,吃,v,pos,9
39,甜,a,pos,10
39,东西,ns,pos,11
